age,gender,height,weight,bmi,activity_level,goal,exercise_frequency,target_calories
29,male,180.8,96.6,29.55,sedentary,lose,1,1919
26,female,170.2,81.0,27.96,sedentary,maintain,0,1977
67,male,180.6,92.4,28.33,moderate,maintain,5,2825
22,female,164.3,53.6,19.86,sedentary,lose,0,1200
23,female,159.0,49.7,19.66,moderate,lose,4,1632
66,male,169.3,66.0,23.03,moderate,gain,5,2736
33,female,163.6,75.5,28.21,moderate,build_muscle,5,2648
42,female,177.6,49.6,15.73,light,maintain,2,1810
50,female,164.3,66.9,24.78,sedentary,build_muscle,0,1756
50,female,165.7,65.4,23.82,very_active,gain,7,3037
61,male,176.1,70.6,22.77,light,gain,3,2534
59,female,164.1,59.1,21.95,moderate,lose,5,1517
29,male,179.0,80.6,25.16,moderate,lose,4,2413
42,female,156.2,66.4,27.21,light,lose,1,1281
66,male,173.5,75.9,25.21,active,lose,6,2369
36,male,177.6,65.3,20.7,sedentary,gain,1,2243
48,male,186.1,81.1,23.42,moderate,gain,5,3241
58,female,169.5,76.0,26.45,active,gain,6,2868
53,male,159.9,81.1,31.72,sedentary,maintain,1,1882
37,male,179.3,96.7,30.08,moderate,lose,5,2693
32,male,172.4,68.6,23.08,sedentary,gain,0,2262
59,female,157.5,60.2,24.27,sedentary,lose,1,1200
24,male,173.7,74.9,24.82,sedentary,maintain,1,2112
62,female,155.2,55.8,23.17,light,lose,2,1200
63,male,182.0,75.1,22.67,active,lose,6,2446
48,female,156.6,65.4,26.67,light,maintain,1,1720
26,female,160.7,68.6,26.56,moderate,maintain,5,2329
19,male,182.6,61.1,18.32,active,maintain,6,3080
52,female,164.9,73.8,27.14,moderate,lose,4,1752
67,male,162.7,62.3,23.53,sedentary,maintain,0,1539
57,male,181.7,67.2,20.35,sedentary,lose,0,1329
40,female,174.5,67.7,22.23,sedentary,lose,0,1261
42,female,164.3,51.1,18.93,sedentary,build_muscle,1,1693
63,male,187.1,72.4,20.68,light,gain,3,2611
41,female,161.8,43.0,16.43,sedentary,lose,0,1200
40,female,165.6,53.8,19.62,moderate,build_muscle,3,2214
32,male,175.9,92.5,29.9,sedentary,lose,1,1852
60,male,177.8,99.6,31.51,moderate,maintain,4,2903
19,female,164.2,63.2,23.44,moderate,lose,5,1917
54,male,178.9,82.3,25.71,active,maintain,5,3030
64,male,170.0,72.7,25.16,active,lose,6,2239
48,female,169.3,81.2,28.33,moderate,gain,3,2702
64,male,169.3,64.4,22.47,moderate,lose,4,1767
26,female,166.7,67.7,24.36,active,maintain,5,2660
48,male,166.3,90.3,32.65,active,maintain,4,3058
48,male,166.7,52.4,18.86,light,lose,3,1460
20,female,156.1,59.2,24.29,active,maintain,5,2394
55,female,168.1,42.0,14.86,active,maintain,5,1986
23,male,182.8,70.5,21.1,light,lose,3,2114
54,male,166.4,73.8,26.65,light,lose,2,1686
59,female,164.8,55.6,20.47,light,maintain,3,1645
61,female,159.2,67.5,26.63,moderate,maintain,3,1941
37,female,169.5,46.2,16.08,light,lose,3,1243
65,male,177.8,98.5,31.16,active,lose,6,2798
28,male,180.3,61.8,19.01,active,build_muscle,5,3234
23,female,167.6,66.1,23.53,sedentary,lose,1,1336
63,female,160.0,66.7,26.05,moderate,lose,4,1533
18,female,166.1,78.4,28.42,active,lose,4,2409
57,male,166.7,77.7,27.96,sedentary,lose,0,1405
35,male,177.4,64.1,20.37,light,maintain,3,2331
53,male,177.2,70.7,22.52,active,lose,5,2471
56,male,184.6,72.7,21.33,light,lose,1,1779
50,male,178.1,67.4,21.25,active,build_muscle,6,3202
62,female,156.6,66.8,27.24,light,lose,2,1274
55,female,161.1,71.2,27.43,light,lose,1,1318
38,male,169.6,82.3,28.61,light,gain,2,2755
22,female,166.1,56.5,20.48,light,lose,3,1479
29,female,173.0,57.6,19.25,active,maintain,4,2473
31,female,168.2,65.7,23.22,active,lose,4,2157
23,male,170.7,58.9,20.21,moderate,gain,5,2987
57,female,159.5,53.6,21.07,active,maintain,5,2118
29,female,178.5,60.6,19.02,light,lose,3,1631
48,female,169.2,65.6,22.91,light,build_muscle,1,2086
25,female,160.5,51.4,19.95,moderate,lose,3,1552
57,female,165.2,67.6,24.77,light,lose,3,1374
41,female,166.0,73.6,26.71,light,gain,2,2373
54,male,170.9,87.6,29.99,sedentary,lose,1,1634
53,male,168.9,81.3,28.5,sedentary,build_muscle,0,2176
49,female,163.2,78.4,29.44,moderate,maintain,4,2362
37,female,162.9,84.8,31.96,sedentary,lose,0,1434
58,female,167.7,77.9,27.7,light,lose,3,1580
40,female,166.5,63.7,22.98,active,build_muscle,4,2616
67,male,170.6,73.5,25.25,light,gain,2,2473
42,male,169.3,66.5,23.2,very_active,build_muscle,7,3391
22,female,157.1,71.9,29.13,light,gain,3,2436
56,female,159.6,56.1,22.02,light,build_muscle,2,1856
44,female,154.5,73.7,30.88,sedentary,lose,1,1231
31,male,177.9,81.3,25.69,sedentary,build_muscle,0,2415
24,male,177.3,75.4,23.99,moderate,build_muscle,4,3118
33,male,175.3,62.0,20.18,sedentary,maintain,0,1918
48,female,164.8,42.0,15.46,active,maintain,4,1964
55,male,166.8,65.4,23.51,moderate,maintain,5,2358
48,female,156.3,43.7,17.89,light,lose,2,1200
37,male,185.7,77.0,22.33,moderate,lose,4,2399
66,female,163.2,61.5,23.09,light,lose,1,1200
53,male,170.2,85.5,29.52,moderate,lose,3,2215
32,female,153.2,62.1,26.46,sedentary,gain,1,1931
59,female,162.4,43.0,16.3,light,build_muscle,1,1656
57,female,165.6,46.7,17.03,light,lose,1,1200
52,male,197.2,80.8,20.78,light,lose,2,2071
18,male,170.2,64.1,22.13,light,gain,2,2648
62,female,164.6,53.5,19.75,active,build_muscle,4,2271
29,female,170.0,70.5,24.39,active,build_muscle,4,2974
42,male,177.2,62.1,19.78,moderate,lose,4,2050
48,male,172.5,50.6,17.0,active,lose,6,2144
65,male,185.0,70.0,20.45,light,maintain,1,2140
25,male,178.0,77.2,24.37,sedentary,gain,0,2505
68,female,163.8,91.9,34.25,moderate,gain,5,2732
33,male,171.6,79.1,26.86,moderate,build_muscle,5,3078
21,male,173.2,81.9,27.3,light,lose,2,2108
46,female,182.7,62.8,18.81,light,gain,2,2309
49,male,173.2,60.0,20.0,light,maintain,3,2101
35,female,169.0,73.0,25.56,active,lose,6,2227
46,male,174.2,85.7,28.24,light,lose,3,1964
57,male,175.5,90.0,29.22,sedentary,gain,1,2398
51,male,170.4,55.8,19.22,sedentary,lose,1,1222
20,male,173.0,79.5,26.56,active,lose,5,2782
24,male,187.2,79.7,22.74,light,maintain,3,2643
32,female,157.9,59.7,23.94,active,lose,5,1895
47,male,176.9,71.6,22.88,moderate,build_muscle,4,2884
57,male,163.2,75.6,28.38,sedentary,lose,0,1355
24,male,174.5,60.2,19.77,sedentary,maintain,0,1816
65,female,155.8,75.4,31.06,light,maintain,3,1843
24,female,165.2,69.0,25.28,light,lose,1,1521
38,female,161.0,42.0,16.2,active,maintain,6,2028
64,female,160.7,70.3,27.22,light,lose,3,1365
46,female,160.6,63.2,24.5,sedentary,lose,0,1200
37,male,199.1,77.5,19.55,sedentary,lose,1,1829
24,male,171.3,87.8,29.92,sedentary,lose,0,1758
34,male,177.3,70.7,22.49,light,build_muscle,3,2651
29,female,165.9,42.0,15.26,moderate,build_muscle,3,2144
20,female,161.9,48.7,18.58,sedentary,lose,1,1200
25,female,173.5,68.4,22.72,moderate,maintain,3,2384
21,female,162.3,66.0,25.06,light,lose,3,1585
46,female,159.2,63.3,24.98,sedentary,maintain,1,1474
26,male,171.3,88.7,30.23,moderate,maintain,4,3016
66,male,180.8,87.0,26.61,light,gain,1,2722
33,male,188.5,85.8,24.15,light,build_muscle,1,2892
40,female,167.7,66.7,23.72,moderate,gain,3,2584
57,female,168.5,45.1,15.88,moderate,maintain,3,1756
25,male,183.4,75.4,22.42,moderate,lose,4,2423
39,male,174.7,70.1,22.97,light,lose,1,1787
53,female,158.2,45.3,18.1,sedentary,gain,0,1575
55,female,170.1,55.5,19.18,light,lose,1,1222
47,male,165.2,75.1,27.52,light,lose,3,1787
24,female,177.0,65.6,20.94,moderate,lose,4,1931
49,female,162.4,72.1,27.34,sedentary,maintain,1,1599
20,male,176.2,92.0,29.63,light,lose,1,2286
58,female,164.2,51.2,18.99,very_active,lose,5,1901
42,female,172.9,50.2,16.79,sedentary,maintain,1,1494
60,female,169.3,74.6,26.03,light,gain,3,2345
44,male,176.3,83.5,26.86,very_active,build_muscle,6,3714
55,male,177.3,53.5,17.02,active,lose,6,2113
45,male,197.8,75.0,19.17,sedentary,build_muscle,0,2351
29,male,185.3,65.0,18.93,moderate,gain,4,3141
37,female,147.7,72.0,33.0,active,build_muscle,5,2676
29,male,180.2,113.5,34.95,moderate,maintain,5,3480
56,male,177.4,95.7,30.41,light,gain,2,2927
63,female,173.1,58.9,19.66,light,maintain,1,1660
32,male,189.3,80.4,22.44,sedentary,lose,1,1793
66,male,187.8,78.3,22.2,very_active,maintain,7,3366
62,female,159.5,73.8,29.01,sedentary,maintain,0,1466
43,female,154.8,49.1,20.49,moderate,maintain,5,1816
51,male,182.8,85.1,25.47,active,build_muscle,4,3363
53,male,175.1,59.2,19.31,very_active,lose,6,2509
37,female,163.9,54.1,20.14,sedentary,lose,0,1200
59,female,148.9,46.2,20.84,sedentary,gain,0,1491
44,female,162.3,65.2,24.75,light,build_muscle,1,2064
62,female,161.0,52.7,20.33,sedentary,gain,0,1580
63,male,168.8,79.9,28.04,light,lose,3,1762
20,female,160.3,65.8,25.61,moderate,gain,3,2547
27,male,181.5,94.5,28.69,light,lose,2,2295
30,male,180.9,98.1,29.98,sedentary,maintain,1,2396
56,male,180.4,69.6,21.39,moderate,maintain,4,2496
33,male,179.9,83.7,25.86,moderate,build_muscle,3,3128
29,male,182.9,91.2,27.26,sedentary,build_muscle,1,2576
44,male,179.0,83.7,26.12,light,gain,3,2848
47,male,176.0,63.7,20.56,sedentary,gain,1,2170
66,male,181.7,61.2,18.54,light,lose,3,1631
39,female,154.6,60.7,25.4,moderate,maintain,3,1904
48,male,166.3,73.1,26.43,moderate,gain,4,2823
34,female,142.0,57.3,28.42,light,lose,3,1200
49,female,163.3,71.1,26.66,sedentary,lose,0,1200
25,male,187.1,78.7,22.48,sedentary,build_muscle,1,2462
18,male,179.7,63.4,19.63,light,lose,2,1878
67,female,173.6,63.6,21.1,light,gain,3,2203
39,male,172.3,90.8,30.59,light,maintain,1,2435
48,male,181.0,88.0,26.86,active,build_muscle,5,3497
51,male,167.9,69.6,24.69,light,maintain,1,2145
68,female,151.8,86.1,37.36,light,lose,2,1372
29,female,153.4,44.8,19.04,moderate,gain,4,2157
35,male,168.0,83.9,29.73,sedentary,maintain,1,2104
41,male,182.6,80.9,24.26,active,maintain,4,3100
50,female,166.6,71.3,25.69,light,build_muscle,2,2170
51,male,171.6,72.9,24.76,moderate,maintain,5,2563
18,male,175.1,79.6,25.96,active,build_muscle,5,3529
19,female,163.4,54.6,20.45,active,lose,4,1938
35,female,151.2,59.2,25.9,moderate,lose,3,1516
31,male,177.4,60.2,19.13,light,build_muscle,2,2454
28,male,185.9,83.8,24.25,light,maintain,1,2674
24,male,179.1,71.9,22.41,light,gain,3,2835
57,female,159.1,70.8,27.97,sedentary,gain,0,1916
54,female,161.1,76.6,29.51,active,maintain,5,2537
61,female,155.6,48.2,19.91,light,build_muscle,1,1675
43,female,155.6,73.0,30.15,light,build_muscle,2,2215
49,female,170.8,65.4,22.42,light,maintain,1,1837
50,male,183.3,95.1,28.3,moderate,lose,5,2634
68,male,173.1,89.7,29.94,moderate,lose,3,2113
22,female,157.4,52.1,21.03,moderate,gain,4,2456
52,female,161.5,56.6,21.7,moderate,gain,5,2278
38,female,159.4,43.8,17.24,sedentary,build_muscle,0,1528
61,male,181.4,55.5,16.87,light,maintain,3,2037
55,male,178.1,91.2,28.75,sedentary,lose,0,1628
52,female,160.5,77.7,30.16,light,lose,2,1470
45,female,174.8,58.1,19.01,very_active,maintain,7,2615
26,female,164.5,59.8,22.1,active,build_muscle,4,2674
25,female,150.6,77.2,34.04,sedentary,gain,1,2044
63,female,157.9,70.2,28.16,light,gain,2,2116
44,female,169.8,84.5,29.31,moderate,lose,3,2119
27,male,174.3,61.2,20.14,light,build_muscle,1,2487
68,female,172.6,54.5,18.29,moderate,maintain,4,1804
42,female,160.2,68.6,26.73,moderate,maintain,5,2219
52,female,171.2,60.5,20.64,sedentary,maintain,1,1536
55,male,163.8,78.3,29.18,sedentary,gain,1,2215
33,male,176.7,54.9,17.58,very_active,lose,7,2642
57,female,169.1,66.3,23.19,moderate,maintain,5,2187
44,female,157.9,44.7,17.93,light,lose,3,1200
64,female,164.2,54.7,20.29,moderate,maintain,5,1969
36,male,183.8,69.3,20.51,sedentary,gain,1,2387
57,male,172.9,101.2,33.85,sedentary,lose,0,1774
41,female,156.9,66.0,26.81,moderate,maintain,5,2125
39,male,196.8,72.6,18.75,moderate,build_muscle,4,3128
33,female,155.8,53.6,22.08,sedentary,maintain,1,1408
59,male,174.7,100.0,32.77,sedentary,maintain,1,2179
42,male,188.6,70.8,19.9,light,maintain,2,2351
36,male,183.8,69.7,20.63,moderate,build_muscle,5,3030
45,female,162.1,50.7,19.29,light,lose,1,1200
59,female,156.3,56.8,23.25,moderate,lose,5,1393
61,female,160.6,60.5,23.46,light,gain,1,1936
44,male,179.1,79.5,24.78,light,lose,2,1957
21,male,178.1,93.6,29.51,active,build_muscle,6,3803
63,male,179.3,74.6,23.2,moderate,lose,5,2054
62,male,167.6,80.4,28.62,moderate,lose,4,2114
67,female,149.4,73.5,32.93,moderate,lose,3,1478
42,male,169.7,43.0,14.93,light,build_muscle,1,2128
22,female,146.9,64.3,29.8,moderate,lose,4,1724
31,female,168.5,59.1,20.82,light,lose,1,1400
22,male,170.5,71.7,24.66,light,build_muscle,1,2591
60,male,175.7,70.2,22.74,light,lose,1,1667
48,female,150.6,71.3,31.44,moderate,gain,5,2473
25,female,169.8,42.0,14.57,light,gain,2,2030
58,male,187.5,75.6,21.5,light,build_muscle,2,2613
59,female,166.8,67.1,24.12,very_active,gain,6,2992
24,female,158.5,55.4,22.05,sedentary,maintain,0,1531
49,male,180.0,58.3,17.99,moderate,maintain,4,2455
20,male,172.1,86.0,29.04,moderate,maintain,3,2976
61,female,153.3,72.4,30.81,moderate,lose,3,1508
65,male,183.3,90.7,26.99,light,build_muscle,1,2670
29,male,187.6,57.1,16.22,active,lose,6,2470
55,male,189.6,85.4,23.76,sedentary,maintain,0,2145
65,female,164.8,58.8,21.65,very_active,maintain,5,2298
68,female,163.5,66.3,24.8,sedentary,lose,1,1200
53,female,168.6,67.2,23.64,moderate,lose,5,1762
67,female,170.9,81.9,28.04,sedentary,lose,0,1207
44,female,153.9,56.2,23.73,light,lose,1,1200
51,female,158.1,65.5,26.2,sedentary,gain,0,1813
58,male,165.2,81.1,29.72,light,maintain,1,2152
51,male,187.0,73.4,20.99,active,build_muscle,6,3323
35,male,189.5,82.0,22.83,sedentary,build_muscle,1,2492
29,female,171.5,84.0,28.56,sedentary,lose,0,1448
20,female,165.5,65.9,24.06,light,lose,1,1562
50,female,174.1,78.6,25.93,moderate,maintain,4,2357
32,female,168.7,64.8,22.77,sedentary,gain,0,1977
32,female,171.3,69.5,23.68,sedentary,maintain,0,1768
41,female,159.6,74.5,29.25,moderate,build_muscle,3,2531
26,female,171.9,65.9,22.3,light,lose,2,1583
32,female,164.1,74.3,27.59,moderate,maintain,5,2388
54,male,191.4,71.2,19.44,sedentary,build_muscle,1,2273
47,female,159.3,59.8,23.57,moderate,lose,4,1602
55,female,165.8,87.8,31.94,active,build_muscle,4,2931
64,female,164.0,63.3,23.54,light,maintain,3,1714
46,male,172.7,76.2,25.55,moderate,gain,4,3013
33,female,161.8,60.1,22.96,light,lose,3,1411
54,female,163.0,60.6,22.81,light,gain,3,2045
58,female,169.9,47.8,16.56,active,lose,6,1649
51,female,170.2,65.4,22.58,light,build_muscle,3,2124
57,male,173.5,91.5,30.4,sedentary,build_muscle,1,2309
25,male,169.4,85.8,29.9,sedentary,lose,0,1650
39,male,170.9,76.5,26.19,light,build_muscle,3,2631
66,male,175.8,66.7,21.58,light,lose,3,1626
40,female,164.1,50.6,18.79,active,maintain,6,2241
46,female,153.9,49.4,20.86,active,build_muscle,4,2254
23,male,191.4,69.7,19.03,very_active,lose,5,3127
25,female,160.3,50.8,19.77,active,maintain,6,2357
48,male,177.2,68.0,21.66,moderate,lose,3,2093
32,male,180.9,62.4,19.07,light,maintain,3,2286
47,female,158.1,61.0,24.4,moderate,lose,4,1571
48,male,171.4,83.7,28.49,active,lose,5,2591
63,male,177.3,68.0,21.63,sedentary,gain,0,2119
33,male,194.9,103.8,27.33,moderate,maintain,4,3407
60,male,185.4,71.1,20.68,light,maintain,1,2230
25,female,169.3,57.6,20.1,light,lose,2,1492
59,female,161.2,59.6,22.94,light,build_muscle,3,1895
54,male,173.6,46.9,15.56,light,lose,2,1408
37,male,173.4,93.8,31.2,sedentary,lose,1,1803
56,male,169.3,62.7,21.88,sedentary,build_muscle,1,1982
61,female,165.8,60.8,22.12,light,lose,2,1227
60,male,173.1,81.6,27.23,active,lose,5,2522
46,female,163.5,66.3,24.8,moderate,maintain,4,2135
36,female,168.8,78.2,27.44,active,gain,5,3135
27,male,184.2,79.9,23.55,active,build_muscle,4,3568
23,female,173.0,63.7,21.28,light,lose,2,1589
30,male,163.0,81.0,30.49,moderate,lose,4,2331
49,female,155.7,58.5,24.13,sedentary,lose,1,1200
25,female,172.5,49.8,16.74,light,maintain,3,1818
19,male,180.7,83.1,25.45,very_active,lose,7,3323
34,female,169.1,54.3,18.99,moderate,lose,5,1663
34,male,177.4,79.9,25.39,light,build_muscle,1,2674
44,female,164.8,45.0,16.57,sedentary,lose,0,1200
67,male,166.6,60.1,21.65,moderate,lose,4,1770
35,female,153.6,56.4,23.91,sedentary,maintain,0,1376
26,male,168.3,74.6,26.34,light,lose,1,1901
30,male,178.8,80.6,25.21,moderate,build_muscle,5,3139
44,male,172.9,77.3,25.86,active,build_muscle,5,3221
46,male,186.0,89.5,25.87,moderate,lose,5,2535
19,female,162.9,57.5,21.67,sedentary,gain,0,1946
45,male,181.1,67.7,20.64,sedentary,gain,1,2235
30,male,187.1,90.5,25.85,light,lose,1,2247
60,female,161.9,67.9,25.9,sedentary,maintain,0,1477
60,male,173.9,80.6,26.65,active,build_muscle,6,3204
50,male,179.9,70.6,21.81,moderate,lose,3,2106
36,male,182.3,95.2,28.65,sedentary,gain,0,2710
41,female,156.5,60.7,24.78,moderate,lose,4,1558
45,female,164.1,70.7,26.25,sedentary,build_muscle,0,1825
66,female,164.8,57.2,21.06,moderate,lose,4,1434
42,male,173.7,93.2,30.89,light,build_muscle,2,2818
30,female,170.1,77.5,26.79,active,build_muscle,5,3001
18,male,185.3,75.9,22.11,sedentary,maintain,0,2224
65,male,181.5,108.0,32.78,sedentary,build_muscle,1,2515
56,male,180.5,65.0,19.95,sedentary,maintain,1,1829
66,female,173.9,66.9,22.12,light,maintain,3,1795
49,female,159.1,62.6,24.73,light,lose,2,1241
19,male,176.2,79.5,25.61,sedentary,gain,0,2524
56,female,161.3,57.3,22.02,moderate,lose,3,1400
68,female,155.8,54.0,22.25,light,maintain,3,1504
52,female,146.5,55.2,25.72,sedentary,maintain,0,1233
46,female,167.1,60.2,21.56,moderate,build_muscle,4,2338
49,male,169.7,80.7,28.02,light,gain,3,2670
48,female,153.8,57.1,24.14,sedentary,lose,1,1200
67,female,169.1,61.7,21.58,sedentary,lose,1,1200
66,male,186.7,85.2,24.44,sedentary,lose,1,1597
40,female,167.9,65.9,23.38,sedentary,lose,0,1200
25,female,161.6,61.9,23.7,light,maintain,2,1923
35,female,170.8,64.6,22.14,sedentary,lose,1,1231
24,female,165.9,60.3,21.91,light,build_muscle,3,2201
28,female,158.0,56.1,22.47,light,maintain,1,1774
34,female,155.7,98.1,40.47,light,lose,3,1921
63,male,178.0,71.2,22.47,light,lose,3,1714
59,male,176.8,82.9,26.52,light,gain,2,2643
44,male,166.8,86.5,31.09,light,gain,1,2748
54,male,168.3,56.9,20.09,active,build_muscle,5,2764
54,female,162.6,59.2,22.39,sedentary,maintain,0,1444
45,female,171.6,44.6,15.15,active,maintain,5,2166
36,female,159.7,56.3,22.07,moderate,maintain,3,2001
47,female,164.3,42.0,15.56,light,build_muscle,1,1740
35,male,180.0,83.6,25.8,active,gain,4,3573
68,female,161.4,84.6,32.48,sedentary,maintain,0,1633
41,female,156.1,42.8,17.56,light,build_muscle,1,1716
51,male,186.4,67.2,19.34,moderate,maintain,4,2560
33,male,164.8,62.9,23.16,light,build_muscle,3,2371
45,male,184.5,77.2,22.68,sedentary,lose,1,1647
55,female,171.1,67.7,23.13,moderate,lose,5,1709
68,female,167.9,72.6,25.75,moderate,build_muscle,3,2317
65,male,166.0,49.7,18.04,moderate,gain,3,2337
61,female,169.9,78.9,27.33,active,lose,5,2163
37,female,174.0,74.0,24.44,sedentary,lose,0,1371
68,female,158.0,84.6,33.89,active,build_muscle,5,2738
39,female,160.1,42.0,16.39,active,build_muscle,6,2296
56,female,165.6,61.2,22.32,light,gain,1,2000
58,male,165.3,82.5,30.19,sedentary,lose,1,1467
33,male,179.1,42.0,13.09,active,gain,6,2930
68,female,170.1,58.5,20.22,active,lose,4,1644
30,female,150.9,72.1,31.66,light,lose,3,1532
19,male,193.2,66.6,17.84,moderate,maintain,3,2892
21,male,175.1,64.8,21.14,light,lose,2,1900
54,male,185.4,89.9,26.15,light,build_muscle,2,2804
63,male,167.7,85.1,30.26,active,lose,6,2582
42,female,172.4,78.8,26.51,moderate,build_muscle,4,2703
44,male,170.9,76.8,26.3,very_active,lose,6,2832
41,male,166.0,66.7,24.21,sedentary,maintain,1,1875
63,male,174.7,65.9,21.59,moderate,lose,5,1983
21,male,173.1,84.3,28.13,active,build_muscle,6,3654
18,male,173.8,75.6,25.03,light,lose,2,2085
53,male,180.9,78.1,23.87,sedentary,maintain,1,2030
63,female,160.4,57.0,22.15,sedentary,lose,0,1200
35,female,162.8,42.0,15.85,light,build_muscle,3,1908
45,female,149.0,70.5,31.76,very_active,gain,5,2881
21,female,163.9,66.4,24.72,sedentary,maintain,0,1697
20,female,155.8,42.0,17.3,moderate,maintain,3,1898
25,male,172.8,83.1,27.83,light,build_muscle,3,2790
55,male,175.6,77.2,25.04,moderate,lose,3,2134
67,male,172.4,76.1,25.6,light,lose,3,1754
38,male,181.4,79.0,24.01,active,gain,5,3536
56,female,159.6,54.8,21.51,sedentary,maintain,1,1335
31,male,187.6,91.3,25.94,light,gain,3,3069
53,male,183.5,72.2,21.44,light,lose,2,1890
42,male,184.3,78.0,22.96,moderate,gain,3,3103
49,female,166.6,46.0,16.57,active,build_muscle,6,2384
50,female,170.6,66.7,22.92,light,lose,3,1509
23,female,163.5,42.9,16.05,moderate,maintain,4,1996
61,female,167.6,65.7,23.39,sedentary,maintain,0,1539
47,female,148.9,72.2,32.56,light,lose,1,1301
51,male,169.8,60.9,21.12,moderate,build_muscle,5,2646
50,male,172.8,78.6,26.32,moderate,maintain,4,2624
25,male,184.4,75.1,22.09,moderate,build_muscle,3,3080
44,male,180.8,68.4,20.92,moderate,maintain,5,2593
29,female,166.9,64.1,23.01,very_active,lose,7,2427
45,male,175.2,75.7,24.66,sedentary,lose,1,1509
37,female,164.8,42.0,15.46,light,gain,3,1909
37,female,166.2,66.1,23.93,sedentary,build_muscle,0,1890
59,male,171.8,77.3,26.19,active,maintain,4,2893
67,female,155.3,65.8,27.28,sedentary,lose,0,1200
48,female,155.4,74.9,31.02,sedentary,lose,1,1200
39,male,187.3,76.9,21.92,moderate,build_muscle,4,3098
20,female,153.6,50.3,21.32,moderate,maintain,5,2041
32,female,161.1,49.9,19.23,light,lose,1,1209
25,female,173.1,42.0,14.02,light,gain,1,2060
36,male,174.7,61.5,20.15,light,maintain,3,2238
26,female,159.6,76.1,29.88,light,maintain,3,2085
68,female,144.7,68.1,32.52,sedentary,lose,0,1200
28,male,172.4,71.3,23.99,light,build_muscle,2,2586
31,male,147.5,58.7,26.98,light,lose,3,1559
22,male,188.6,72.7,20.44,sedentary,maintain,1,2211
39,female,165.6,44.6,16.26,moderate,maintain,3,1892
63,male,163.0,105.9,39.86,moderate,build_muscle,3,3121
68,male,165.3,61.5,22.51,active,build_muscle,4,2634
31,male,175.8,82.4,26.66,light,maintain,3,2532
64,female,165.8,58.4,21.24,light,build_muscle,1,1873
67,female,156.9,64.0,26.0,active,lose,6,1674
23,male,174.7,96.5,31.62,light,maintain,1,2746
68,female,172.5,65.7,22.08,light,maintain,2,1829
19,female,151.8,69.7,30.25,moderate,maintain,3,2285
45,male,179.5,96.3,29.89,moderate,maintain,5,3088
58,male,190.2,73.1,20.21,active,build_muscle,5,3202
64,female,169.1,61.9,21.65,sedentary,lose,0,1200
46,female,153.9,44.9,18.96,moderate,maintain,4,1697
67,female,149.2,66.0,29.65,sedentary,lose,0,1200
31,female,170.4,70.7,24.35,light,gain,1,2460
33,female,165.2,67.6,24.77,light,maintain,3,1980
41,male,175.4,91.4,29.71,sedentary,gain,0,2479
47,male,179.3,70.9,22.05,moderate,maintain,5,2676
40,male,172.4,94.4,31.76,active,maintain,4,3281
24,male,166.6,67.9,24.46,active,lose,4,2500
63,male,168.6,82.0,28.85,sedentary,maintain,0,1839
61,female,164.1,48.5,18.01,light,lose,2,1200
58,female,156.3,68.5,28.04,active,maintain,5,2273
49,male,172.0,74.3,25.11,moderate,build_muscle,3,2783
47,male,162.9,79.6,30.0,active,lose,4,2394
41,male,171.1,72.6,24.8,sedentary,lose,1,1495
36,female,150.7,64.7,28.49,sedentary,maintain,0,1525
31,female,160.7,70.4,27.26,sedentary,maintain,0,1723
44,male,169.2,77.3,27.0,light,lose,2,1786
66,male,178.0,87.9,27.74,moderate,gain,3,3076
23,female,166.2,47.5,17.2,light,lose,2,1316
65,female,164.8,62.2,22.9,sedentary,lose,1,1200
59,male,171.1,72.9,24.9,moderate,maintain,3,2484
50,female,160.7,67.4,26.1,active,lose,4,1866
68,female,166.6,82.9,29.87,active,maintain,4,2519
55,female,154.0,84.0,35.42,sedentary,maintain,1,1694
51,male,173.5,85.1,28.27,sedentary,lose,0,1568
27,male,181.0,71.4,21.79,sedentary,maintain,1,2127
19,male,174.5,65.4,21.48,sedentary,lose,1,1566
21,male,195.0,82.4,21.67,moderate,maintain,5,3242
25,female,162.3,72.6,27.56,moderate,lose,3,1888
35,male,179.2,59.7,18.59,sedentary,gain,0,2191
54,female,160.6,65.5,25.4,moderate,lose,3,1487
52,male,192.6,107.7,29.03,moderate,lose,4,2804
59,female,163.2,62.9,23.62,active,maintain,6,2268
58,female,173.6,67.9,22.53,light,lose,3,1526
37,male,186.5,86.8,24.96,active,gain,5,3740
61,female,159.7,77.7,30.47,very_active,gain,6,3031
60,male,183.3,74.7,22.23,light,maintain,1,2248
56,male,173.8,48.3,15.99,moderate,maintain,5,2192
66,female,160.7,65.8,25.48,active,gain,6,2645
61,female,165.6,84.0,30.63,light,maintain,2,2073
67,male,184.7,42.0,12.31,sedentary,lose,0,1200
66,male,177.9,70.3,22.21,light,lose,3,1781
63,female,166.5,93.3,33.66,very_active,lose,6,2651
18,male,168.9,84.0,29.45,light,build_muscle,3,2906
28,female,153.3,57.8,24.59,moderate,gain,5,2460
26,male,185.5,75.0,21.8,sedentary,maintain,1,2222
61,male,196.9,81.0,20.89,moderate,maintain,5,2837
59,female,160.2,55.6,21.66,active,lose,5,1580
25,female,159.7,51.8,20.31,light,gain,3,2151
52,female,168.6,61.9,21.78,sedentary,lose,0,1200
62,male,173.2,78.4,26.13,sedentary,lose,1,1504
